Industry,State_Territory,Year,Number_of_SARs
Deposit Institution,Idaho,1/1/2015,1774
Deposit Institution,Idaho,1/1/2016,2168
Deposit Institution,Idaho,1/1/2017,2554
Deposit Institution,Idaho,1/1/2018,2536
Deposit Institution,Idaho,1/1/2019,2525
Deposit Institution,Idaho,1/1/2020,3083
Deposit Institution,Idaho,1/1/2021,3395
Deposit Institution,Idaho,1/1/2022,3801
Deposit Institution,Illinois,1/1/2014,31882
Deposit Institution,Illinois,1/1/2015,32319
Deposit Institution,Illinois,1/1/2016,32827
Deposit Institution,Illinois,1/1/2017,33656
Deposit Institution,Illinois,1/1/2018,34395
Deposit Institution,Illinois,1/1/2019,36953
Deposit Institution,Illinois,1/1/2020,44672
Deposit Institution,Illinois,1/1/2021,52284
Deposit Institution,Illinois,1/1/2022,62409
Deposit Institution,Indiana,1/1/2014,10549
Deposit Institution,Indiana,1/1/2015,10477
Deposit Institution,Indiana,1/1/2016,12279
Deposit Institution,Indiana,1/1/2017,12146
Deposit Institution,Indiana,1/1/2018,13094
Deposit Institution,Indiana,1/1/2019,14320
Deposit Institution,Indiana,1/1/2020,19095
Deposit Institution,Indiana,1/1/2021,22722
Deposit Institution,Indiana,1/1/2022,23748
Deposit Institution,Iowa,1/1/2014,2944
Deposit Institution,Iowa,1/1/2015,3476
Deposit Institution,Iowa,1/1/2016,4460
Deposit Institution,Iowa,1/1/2017,4826
Deposit Institution,Iowa,1/1/2018,4735
Deposit Institution,Iowa,1/1/2019,5066
Deposit Institution,Iowa,1/1/2020,6225
Deposit Institution,Iowa,1/1/2021,8600
Deposit Institution,Iowa,1/1/2022,7796
Deposit Institution,Kansas,1/1/2014,4054
Deposit Institution,Kansas,1/1/2015,4907
Deposit Institution,Kansas,1/1/2016,5704
Deposit Institution,Kansas,1/1/2017,6063
Deposit Institution,Kansas,1/1/2018,5148
Deposit Institution,Kansas,1/1/2019,4979
Deposit Institution,Kansas,1/1/2020,6290
Deposit Institution,Kansas,1/1/2021,7625
Deposit Institution,Kansas,1/1/2022,7686
Deposit Institution,Kentucky,1/1/2014,5479
Deposit Institution,Kentucky,1/1/2015,5166
Deposit Institution,Kentucky,1/1/2016,5522
Deposit Institution,Kentucky,1/1/2017,6093
Deposit Institution,Kentucky,1/1/2018,6632
Deposit Institution,Kentucky,1/1/2019,7003
Deposit Institution,Kentucky,1/1/2020,9098
Deposit Institution,Kentucky,1/1/2021,10472
Deposit Institution,Kentucky,1/1/2022,12057
Deposit Institution,Louisiana,1/1/2014,8640
Deposit Institution,Louisiana,1/1/2015,9644
Deposit Institution,Louisiana,1/1/2016,10145
Deposit Institution,Louisiana,1/1/2017,9791
Deposit Institution,Louisiana,1/1/2018,10204
Deposit Institution,Louisiana,1/1/2019,11490
Deposit Institution,Louisiana,1/1/2020,14838
Deposit Institution,Louisiana,1/1/2021,20397
Deposit Institution,Louisiana,1/1/2022,19849
Deposit Institution,Maine,1/1/2014,3186
Deposit Institution,Maine,1/1/2015,3269
Deposit Institution,Maine,1/1/2016,3938
Deposit Institution,Maine,1/1/2017,4505
Deposit Institution,Maine,1/1/2018,4664
Deposit Institution,Maine,1/1/2019,3673
Deposit Institution,Maine,1/1/2020,4264
Deposit Institution,Maine,1/1/2021,5402
Deposit Institution,Maine,1/1/2022,4874
Deposit Institution,Marshall Islands,1/1/2014,6
Deposit Institution,Marshall Islands,1/1/2015,2
Deposit Institution,Marshall Islands,1/1/2016,1
Deposit Institution,Marshall Islands,1/1/2017,1
Deposit Institution,Marshall Islands,1/1/2018,3
Deposit Institution,Marshall Islands,1/1/2019,2
Deposit Institution,Marshall Islands,1/1/2020,2
Deposit Institution,Marshall Islands,1/1/2021,1
Deposit Institution,Marshall Islands,1/1/2022,2
Deposit Institution,Maryland,1/1/2014,13244
Deposit Institution,Maryland,1/1/2015,15751
Deposit Institution,Maryland,1/1/2016,17530
Deposit Institution,Maryland,1/1/2017,19842
Deposit Institution,Maryland,1/1/2018,18693
Deposit Institution,Maryland,1/1/2019,18191
Deposit Institution,Maryland,1/1/2020,20646
Deposit Institution,Maryland,1/1/2021,23244
Deposit Institution,Maryland,1/1/2022,27232
Deposit Institution,Massachusetts,1/1/2014,14175
Deposit Institution,Massachusetts,1/1/2015,17108
Deposit Institution,Massachusetts,1/1/2016,18146
Deposit Institution,Massachusetts,1/1/2017,19002
Deposit Institution,Massachusetts,1/1/2018,18233
Deposit Institution,Massachusetts,1/1/2019,20427
Deposit Institution,Massachusetts,1/1/2020,22742
Deposit Institution,Massachusetts,1/1/2021,24873
Deposit Institution,Massachusetts,1/1/2022,28817
Deposit Institution,Michigan,1/1/2014,16431
Deposit Institution,Michigan,1/1/2015,17125
Deposit Institution,Michigan,1/1/2016,17175
Deposit Institution,Michigan,1/1/2017,17011
Deposit Institution,Michigan,1/1/2018,17988
Deposit Institution,Michigan,1/1/2019,20074
Deposit Institution,Michigan,1/1/2020,25078
Deposit Institution,Michigan,1/1/2021,29794
Deposit Institution,Michigan,1/1/2022,33114
Deposit Institution,Minnesota,1/1/2014,9395
Deposit Institution,Minnesota,1/1/2015,8865
Deposit Institution,Minnesota,1/1/2016,10090
Deposit Institution,Minnesota,1/1/2017,11951
Deposit Institution,Minnesota,1/1/2018,11878
Deposit Institution,Minnesota,1/1/2019,10968
Deposit Institution,Minnesota,1/1/2020,13500
Deposit Institution,Minnesota,1/1/2021,15256
Deposit Institution,Minnesota,1/1/2022,17594
Deposit Institution,Mississippi,1/1/2014,5997
Deposit Institution,Mississippi,1/1/2015,9033
Deposit Institution,Mississippi,1/1/2016,9200
Deposit Institution,Mississippi,1/1/2017,9488
Deposit Institution,Mississippi,1/1/2018,9704
Deposit Institution,Mississippi,1/1/2019,9034
Deposit Institution,Mississippi,1/1/2020,13525
Deposit Institution,Mississippi,1/1/2021,17598
Deposit Institution,Mississippi,1/1/2022,14864
Deposit Institution,Missouri,1/1/2014,11109
Deposit Institution,Missouri,1/1/2015,11019
Deposit Institution,Missouri,1/1/2016,10731
Deposit Institution,Missouri,1/1/2017,10711
Deposit Institution,Missouri,1/1/2018,9507
Deposit Institution,Missouri,1/1/2019,10169
Deposit Institution,Missouri,1/1/2020,12343
Deposit Institution,Missouri,1/1/2021,13633
