Industry,State_Territory,Year,Number_of_SARs
Other,New Mexico,1/1/2016,8
Other,New York,1/1/2016,4154
Other,North Carolina,1/1/2016,264
Other,North Dakota,1/1/2016,17
Other,Northern Mariana Islands,1/1/2016,0
Other,Ohio,1/1/2016,410
Other,Oklahoma,1/1/2016,47
Other,Oregon,1/1/2016,37
Other,Palau,1/1/2016,0
Other,Pennsylvania,1/1/2016,125
Other,Puerto Rico,1/1/2016,93
Other,Rhode Island,1/1/2016,14
Other,South Carolina,1/1/2016,33
Other,South Dakota,1/1/2016,3
Other,Tennessee,1/1/2016,2010
Other,Texas,1/1/2016,2442
Other,U.S. Virgin Islands,1/1/2016,0
Other,Unknown/Blank,1/1/2016,2525
Other,Utah,1/1/2016,19394
Other,Vermont,1/1/2016,1
Other,Virginia,1/1/2016,382
Other,Washington,1/1/2016,62
Other,West Virginia,1/1/2016,12
Other,Wisconsin,1/1/2016,68
Other,Wyoming,1/1/2016,0
Other,Alabama,1/1/2017,57
Other,Alaska,1/1/2017,35
Other,American Samoa,1/1/2017,0
Other,Arizona,1/1/2017,139
Other,Arkansas,1/1/2017,33
Other,California,1/1/2017,2301
Other,Colorado,1/1/2017,398
Other,Connecticut,1/1/2017,183
Other,Delaware,1/1/2017,5271
Other,District of Columbia,1/1/2017,285
Other,Federated States of Micronesia,1/1/2017,0
Other,Florida,1/1/2017,1693
Other,Georgia,1/1/2017,1721
Other,Guam,1/1/2017,2
Other,Hawaii,1/1/2017,6
Other,Idaho,1/1/2017,5
Other,Illinois,1/1/2017,577
Other,Indiana,1/1/2017,49
Other,Iowa,1/1/2017,58
Other,Kansas,1/1/2017,189
Other,Kentucky,1/1/2017,38
Other,Louisiana,1/1/2017,16
Other,Maine,1/1/2017,15
Other,Marshall Islands,1/1/2017,0
Other,Maryland,1/1/2017,146
Other,Massachusetts,1/1/2017,1598
Other,Michigan,1/1/2017,5392
Other,Minnesota,1/1/2017,57
Other,Mississippi,1/1/2017,4
Other,Missouri,1/1/2017,368
Other,Montana,1/1/2017,2
Other,Nebraska,1/1/2017,14
Other,Nevada,1/1/2017,318
Other,New Hampshire,1/1/2017,34
Other,New Jersey,1/1/2017,357
Other,New Mexico,1/1/2017,6
Other,New York,1/1/2017,4018
Other,North Carolina,1/1/2017,503
Other,North Dakota,1/1/2017,14
Other,Northern Mariana Islands,1/1/2017,1
Other,Ohio,1/1/2017,444
Other,Oklahoma,1/1/2017,80
Other,Oregon,1/1/2017,29
Other,Palau,1/1/2017,0
Other,Pennsylvania,1/1/2017,167
Other,Puerto Rico,1/1/2017,564
Other,Rhode Island,1/1/2017,11
Other,South Carolina,1/1/2017,37
Other,South Dakota,1/1/2017,7
Other,Tennessee,1/1/2017,2819
Other,Texas,1/1/2017,3951
Other,U.S. Virgin Islands,1/1/2017,0
Other,Unknown/Blank,1/1/2017,3373
Other,Utah,1/1/2017,13695
Other,Vermont,1/1/2017,2
Other,Virginia,1/1/2017,476
Other,Washington,1/1/2017,67
Other,West Virginia,1/1/2017,6
Other,Wisconsin,1/1/2017,62
