Industry,State_Territory,Year,Number_of_SARs
Loan,Mississippi,1/1/2016,4
Loan,Missouri,1/1/2016,17
Loan,Montana,1/1/2016,0
Loan,Nebraska,1/1/2016,0
Loan,Nevada,1/1/2016,10
Loan,New Hampshire,1/1/2016,7
Loan,New Jersey,1/1/2016,42
Loan,New Mexico,1/1/2016,5
Loan,New York,1/1/2016,22
Loan,North Carolina,1/1/2016,7
Loan,North Dakota,1/1/2016,0
Loan,Northern Mariana Islands,1/1/2016,0
Loan,Ohio,1/1/2016,15
Loan,Oklahoma,1/1/2016,2
Loan,Oregon,1/1/2016,10
Loan,Palau,1/1/2016,0
Loan,Pennsylvania,1/1/2016,13
Loan,Puerto Rico,1/1/2016,0
Loan,Rhode Island,1/1/2016,2
Loan,South Carolina,1/1/2016,0
Loan,South Dakota,1/1/2016,1
Loan,Tennessee,1/1/2016,6
Loan,Texas,1/1/2016,699
Loan,U.S. Virgin Islands,1/1/2016,0
Loan,Unknown/Blank,1/1/2016,11
Loan,Utah,1/1/2016,8
Loan,Vermont,1/1/2016,0
Loan,Virginia,1/1/2016,34
Loan,Washington,1/1/2016,4
Loan,West Virginia,1/1/2016,1
Loan,Wisconsin,1/1/2016,5
Loan,Wyoming,1/1/2016,2
Loan,Alabama,1/1/2017,4
Loan,Alaska,1/1/2017,2
Loan,American Samoa,1/1/2017,0
Loan,Arizona,1/1/2017,44
Loan,Arkansas,1/1/2017,1
Loan,California,1/1/2017,403
Loan,Colorado,1/1/2017,38
Loan,Connecticut,1/1/2017,7
Loan,Delaware,1/1/2017,9
Loan,District of Columbia,1/1/2017,0
Loan,Federated States of Micronesia,1/1/2017,0
Loan,Florida,1/1/2017,267
Loan,Georgia,1/1/2017,35
Loan,Guam,1/1/2017,0
Loan,Hawaii,1/1/2017,3
Loan,Idaho,1/1/2017,3
Loan,Illinois,1/1/2017,19
Loan,Indiana,1/1/2017,10
Loan,Iowa,1/1/2017,9
Loan,Kansas,1/1/2017,7
Loan,Kentucky,1/1/2017,4
Loan,Louisiana,1/1/2017,5
Loan,Maine,1/1/2017,3
Loan,Marshall Islands,1/1/2017,0
Loan,Maryland,1/1/2017,6
Loan,Massachusetts,1/1/2017,22
Loan,Michigan,1/1/2017,2002
Loan,Minnesota,1/1/2017,1
Loan,Mississippi,1/1/2017,1
Loan,Missouri,1/1/2017,37
Loan,Montana,1/1/2017,0
Loan,Nebraska,1/1/2017,0
Loan,Nevada,1/1/2017,10
Loan,New Hampshire,1/1/2017,8
Loan,New Jersey,1/1/2017,19
Loan,New Mexico,1/1/2017,0
Loan,New York,1/1/2017,20
Loan,North Carolina,1/1/2017,7
Loan,North Dakota,1/1/2017,1
Loan,Northern Mariana Islands,1/1/2017,0
Loan,Ohio,1/1/2017,15
Loan,Oklahoma,1/1/2017,9
Loan,Oregon,1/1/2017,4
Loan,Palau,1/1/2017,0
Loan,Pennsylvania,1/1/2017,13
Loan,Puerto Rico,1/1/2017,0
Loan,Rhode Island,1/1/2017,11
Loan,South Carolina,1/1/2017,13
Loan,South Dakota,1/1/2017,0
Loan,Tennessee,1/1/2017,9
Loan,Texas,1/1/2017,796
Loan,U.S. Virgin Islands,1/1/2017,0
Loan,Unknown/Blank,1/1/2017,19
Loan,Utah,1/1/2017,20
Loan,Vermont,1/1/2017,0
Loan,Virginia,1/1/2017,41
Loan,Washington,1/1/2017,8
Loan,West Virginia,1/1/2017,2
Loan,Wisconsin,1/1/2017,5
Loan,Wyoming,1/1/2017,0
Loan,Alabama,1/1/2018,10
Loan,Alaska,1/1/2018,0
Loan,American Samoa,1/1/2018,0
Loan,Arizona,1/1/2018,29
Loan,Arkansas,1/1/2018,1
Loan,California,1/1/2018,864
Loan,Colorado,1/1/2018,36
Loan,Connecticut,1/1/2018,6
Loan,Delaware,1/1/2018,93
Loan,District of Columbia,1/1/2018,0
Loan,Federated States of Micronesia,1/1/2018,0
Loan,Florida,1/1/2018,560
Loan,Georgia,1/1/2018,55
Loan,Guam,1/1/2018,0
Loan,Hawaii,1/1/2018,0
Loan,Idaho,1/1/2018,2
Loan,Illinois,1/1/2018,50
Loan,Indiana,1/1/2018,3
Loan,Iowa,1/1/2018,11
Loan,Kansas,1/1/2018,8
Loan,Kentucky,1/1/2018,7
Loan,Louisiana,1/1/2018,6
Loan,Maine,1/1/2018,4
Loan,Marshall Islands,1/1/2018,0
Loan,Maryland,1/1/2018,17
Loan,Massachusetts,1/1/2018,15
Loan,Michigan,1/1/2018,1593
Loan,Minnesota,1/1/2018,1
Loan,Mississippi,1/1/2018,4
Loan,Missouri,1/1/2018,37
Loan,Montana,1/1/2018,1
Loan,Nebraska,1/1/2018,0
Loan,Nevada,1/1/2018,26
Loan,New Hampshire,1/1/2018,11
Loan,New Jersey,1/1/2018,21
Loan,New Mexico,1/1/2018,3
Loan,New York,1/1/2018,31
Loan,North Carolina,1/1/2018,17
Loan,North Dakota,1/1/2018,0
Loan,Northern Mariana Islands,1/1/2018,0
Loan,Ohio,1/1/2018,24
Loan,Oklahoma,1/1/2018,8
Loan,Oregon,1/1/2018,9
Loan,Palau,1/1/2018,0
Loan,Pennsylvania,1/1/2018,3
Loan,Puerto Rico,1/1/2018,4
Loan,Rhode Island,1/1/2018,2
Loan,South Carolina,1/1/2018,8
Loan,South Dakota,1/1/2018,0
Loan,Tennessee,1/1/2018,8
Loan,Texas,1/1/2018,878
Loan,U.S. Virgin Islands,1/1/2018,0
Loan,Unknown/Blank,1/1/2018,1
Loan,Utah,1/1/2018,16311
Loan,Vermont,1/1/2018,0
Loan,Virginia,1/1/2018,49
Loan,Washington,1/1/2018,14
Loan,West Virginia,1/1/2018,0
Loan,Wisconsin,1/1/2018,4
Loan,Wyoming,1/1/2018,1
Loan,Alabama,1/1/2019,27
Loan,Alaska,1/1/2019,3
Loan,American Samoa,1/1/2019,0
Loan,Arizona,1/1/2019,67
Loan,Arkansas,1/1/2019,6
Loan,California,1/1/2019,3002
Loan,Colorado,1/1/2019,39
Loan,Connecticut,1/1/2019,26
Loan,Delaware,1/1/2019,239
Loan,District of Columbia,1/1/2019,0
Loan,Federated States of Micronesia,1/1/2019,0
Loan,Florida,1/1/2019,193
Loan,Georgia,1/1/2019,84
Loan,Guam,1/1/2019,2
Loan,Hawaii,1/1/2019,0
Loan,Idaho,1/1/2019,2
Loan,Illinois,1/1/2019,171
Loan,Indiana,1/1/2019,24
Loan,Iowa,1/1/2019,75
Loan,Kansas,1/1/2019,18
Loan,Kentucky,1/1/2019,8
Loan,Louisiana,1/1/2019,8
Loan,Maine,1/1/2019,8
Loan,Marshall Islands,1/1/2019,0
Loan,Maryland,1/1/2019,19
Loan,Massachusetts,1/1/2019,28
Loan,Michigan,1/1/2019,2450
Loan,Minnesota,1/1/2019,43
Loan,Mississippi,1/1/2019,14
Loan,Missouri,1/1/2019,65
Loan,Montana,1/1/2019,3
Loan,Nebraska,1/1/2019,2
Loan,Nevada,1/1/2019,76
Loan,New Hampshire,1/1/2019,10
Loan,New Jersey,1/1/2019,31
Loan,New Mexico,1/1/2019,5
Loan,New York,1/1/2019,55
Loan,North Carolina,1/1/2019,993
Loan,North Dakota,1/1/2019,0
Loan,Northern Mariana Islands,1/1/2019,0
Loan,Ohio,1/1/2019,129
Loan,Oklahoma,1/1/2019,6
Loan,Oregon,1/1/2019,21
Loan,Palau,1/1/2019,0
Loan,Pennsylvania,1/1/2019,64
Loan,Puerto Rico,1/1/2019,18
Loan,Rhode Island,1/1/2019,12
Loan,South Carolina,1/1/2019,12
Loan,South Dakota,1/1/2019,1
Loan,Tennessee,1/1/2019,23
Loan,Texas,1/1/2019,964
Loan,U.S. Virgin Islands,1/1/2019,0
Loan,Unknown/Blank,1/1/2019,2
Loan,Utah,1/1/2019,18636
Loan,Vermont,1/1/2019,2
Loan,Virginia,1/1/2019,79
Loan,Washington,1/1/2019,19
Loan,West Virginia,1/1/2019,2
Loan,Wisconsin,1/1/2019,18
Loan,Wyoming,1/1/2019,1
Loan,Alabama,1/1/2020,26
Loan,Alaska,1/1/2020,8
Loan,American Samoa,1/1/2020,0
Loan,Arizona,1/1/2020,44
Loan,Arkansas,1/1/2020,2
Loan,California,1/1/2020,3292
Loan,Colorado,1/1/2020,49
Loan,Connecticut,1/1/2020,10
Loan,Delaware,1/1/2020,162
Loan,District of Columbia,1/1/2020,0
Loan,Federated States of Micronesia,1/1/2020,0
Loan,Florida,1/1/2020,159
Loan,Georgia,1/1/2020,61
Loan,Guam,1/1/2020,0
Loan,Hawaii,1/1/2020,0
Loan,Idaho,1/1/2020,4
Loan,Illinois,1/1/2020,209
Loan,Indiana,1/1/2020,8
Loan,Iowa,1/1/2020,4
Loan,Kansas,1/1/2020,26
Loan,Kentucky,1/1/2020,2
Loan,Louisiana,1/1/2020,5
Loan,Maine,1/1/2020,3
Loan,Marshall Islands,1/1/2020,0
Loan,Maryland,1/1/2020,32
Loan,Massachusetts,1/1/2020,18
Loan,Michigan,1/1/2020,2806
Loan,Minnesota,1/1/2020,24
Loan,Mississippi,1/1/2020,8
Loan,Missouri,1/1/2020,70
Loan,Montana,1/1/2020,1
Loan,Nebraska,1/1/2020,2
Loan,Nevada,1/1/2020,25
Loan,New Hampshire,1/1/2020,6
Loan,New Jersey,1/1/2020,54
Loan,New Mexico,1/1/2020,1
Loan,New York,1/1/2020,97
Loan,North Carolina,1/1/2020,1566
Loan,North Dakota,1/1/2020,0
Loan,Northern Mariana Islands,1/1/2020,0
Loan,Ohio,1/1/2020,30
Loan,Oklahoma,1/1/2020,6
Loan,Oregon,1/1/2020,13
Loan,Palau,1/1/2020,0
Loan,Pennsylvania,1/1/2020,87
Loan,Puerto Rico,1/1/2020,9
Loan,Rhode Island,1/1/2020,1
Loan,South Carolina,1/1/2020,14
Loan,South Dakota,1/1/2020,0
Loan,Tennessee,1/1/2020,29
Loan,Texas,1/1/2020,896
Loan,U.S. Virgin Islands,1/1/2020,0
Loan,Unknown/Blank,1/1/2020,2
Loan,Utah,1/1/2020,17117
Loan,Vermont,1/1/2020,0
Loan,Virginia,1/1/2020,58
Loan,Washington,1/1/2020,30
Loan,West Virginia,1/1/2020,1
Loan,Wisconsin,1/1/2020,14
Loan,Wyoming,1/1/2020,1
Loan,Alabama,1/1/2021,9
Loan,Alaska,1/1/2021,12
Loan,American Samoa,1/1/2021,0
Loan,Arizona,1/1/2021,756
Loan,Arkansas,1/1/2021,6
Loan,California,1/1/2021,6034
Loan,Colorado,1/1/2021,93
Loan,Connecticut,1/1/2021,26
Loan,Delaware,1/1/2021,212
Loan,District of Columbia,1/1/2021,2
Loan,Federated States of Micronesia,1/1/2021,0
Loan,Florida,1/1/2021,1722
Loan,Georgia,1/1/2021,125
Loan,Guam,1/1/2021,0
Loan,Hawaii,1/1/2021,1
Loan,Idaho,1/1/2021,11
Loan,Illinois,1/1/2021,627
Loan,Indiana,1/1/2021,62
Loan,Iowa,1/1/2021,10
Loan,Kansas,1/1/2021,28
Loan,Kentucky,1/1/2021,5
Loan,Louisiana,1/1/2021,17
Loan,Maine,1/1/2021,9
Loan,Marshall Islands,1/1/2021,0
Loan,Maryland,1/1/2021,57
Loan,Massachusetts,1/1/2021,54
Loan,Michigan,1/1/2021,4297
Loan,Minnesota,1/1/2021,29
Loan,Mississippi,1/1/2021,8
Loan,Missouri,1/1/2021,125
Loan,Montana,1/1/2021,8
Loan,Nebraska,1/1/2021,7
Loan,Nevada,1/1/2021,80
Loan,New Hampshire,1/1/2021,11
Loan,New Jersey,1/1/2021,759
Loan,New Mexico,1/1/2021,41
Loan,New York,1/1/2021,530
Loan,North Carolina,1/1/2021,1374
Loan,North Dakota,1/1/2021,0
Loan,Northern Mariana Islands,1/1/2021,0
Loan,Ohio,1/1/2021,91
Loan,Oklahoma,1/1/2021,15
Loan,Oregon,1/1/2021,17
Loan,Palau,1/1/2021,0
Loan,Pennsylvania,1/1/2021,162
Loan,Puerto Rico,1/1/2021,18
Loan,Rhode Island,1/1/2021,8
Loan,South Carolina,1/1/2021,18
Loan,South Dakota,1/1/2021,1
Loan,Tennessee,1/1/2021,46
Loan,Texas,1/1/2021,1976
Loan,U.S. Virgin Islands,1/1/2021,0
Loan,Unknown/Blank,1/1/2021,27
Loan,Utah,1/1/2021,24855
Loan,Vermont,1/1/2021,0
Loan,Virginia,1/1/2021,97
Loan,Washington,1/1/2021,23
Loan,West Virginia,1/1/2021,0
Loan,Wisconsin,1/1/2021,49
Loan,Wyoming,1/1/2021,2
Loan,Alabama,1/1/2022,21
Loan,Alaska,1/1/2022,5
Loan,American Samoa,1/1/2022,0
Loan,Arizona,1/1/2022,1856
Loan,Arkansas,1/1/2022,13
Loan,California,1/1/2022,14208
Loan,Colorado,1/1/2022,123
Loan,Connecticut,1/1/2022,60
Loan,Delaware,1/1/2022,813
Loan,District of Columbia,1/1/2022,0
Loan,Federated States of Micronesia,1/1/2022,0
Loan,Florida,1/1/2022,3253
Loan,Georgia,1/1/2022,506
Loan,Guam,1/1/2022,0
Loan,Hawaii,1/1/2022,3
Loan,Idaho,1/1/2022,18
Loan,Illinois,1/1/2022,851
Loan,Indiana,1/1/2022,117
Loan,Iowa,1/1/2022,10
Loan,Kansas,1/1/2022,36
Loan,Kentucky,1/1/2022,10
Loan,Louisiana,1/1/2022,18
Loan,Maine,1/1/2022,17
Loan,Marshall Islands,1/1/2022,0
Loan,Maryland,1/1/2022,68
